Ime_slikarja,Narodnost,Smer,Letnice_kraj 
"WEISGERBER, Albert",German painter and,printmaker,"b. 1878, Sankt Ingbert, d. 1915, Fromelles"
CLAUDE LORRAIN,French,painter,"b. 1604, Chamagne, d. 1682, Roma"
"MEULEN, Adam Frans van der",Flemish,painter,"b. 1632, Bruxelles, d. 1690, Paris"
"DAHL, Michael",Swedish,painter,"b. ca. 1659, Stockholm, d. 1743, London"
"GAGGINI, Antonello","Italian sculptor, Sicilian",school,"b. 1478, Palermo, d. 1536, Palermo"
"BERNARDI, Giuseppe",Italian,sculptor,"b. 1694, Pagnano, d. 1774, Venezia"
"QUILLARD, Pierre-Antoine",French,painter,"b. ca. 1700, Paris, d. 1733, Lisbon"
"GHEYN, Jacob de II",Dutch,engraver/painter,"b. 1565, Antwerp, d. 1629, The Hague"
"CORTE, Juan de la",Spanish,painter,"b. ca. 1590, Flanders, d. 1662, Madrid"
"SADELER, Jan I",Flemish,engraver,"b. 1550, Bruxelles, d. 1600, Venezia"
VITALE DA BOLOGNA,"Italian painter, Bolognese",school,"b. 1289/1309, Bologna, d. 1359/69, Bologna"
"ARTIOLI, Giuseppe",Italian,painter,active 1550-1800 in Mantua
"BAZZANI, Giuseppe",Italian,painter,"b. 1690, Mantova, d. 1769, Mantova"
"LAURANA, Francesco",Dalmatian,sculptor,"b. ca. 1430, Vrana, d. 1502, Avignon"
"TORRENTIUS, Johannes",Dutch,painter,"b. 1589, Amsterdam, d. 1644, Amsterdam"
"FONTANA, Giovanni Battista",Italian,painter,"b. 1524, Ala, d. 1587, Innsbruck"
"LUCHIAN, ªtefan",Romanian,painter,"b. 1868, Stefanesti, d. 1916, Bucureºti"
"UBERTI, Pietro","Italian painter, Venetian",school,1671-1762
MASTER ALPAIS,French,goldsmith,active 1180-1200 in Limoges
"COUDER, Auguste",French,painter,"b. 1790, London, d. 1873, Paris"
"GOENEUTTE, Norbert",French,painter,"b. 1854, Paris, d. 1894, Auvers-sur-Oise"
"DEPPE, Ludwig",German,painter,active c. 1820 in Berlin
"PYNACKER, Adam",Dutch,painter,"b. 1620/21, Schiedam, d. 1673, Amsterdam"
"PONTELLI, Baccio",Italian,architect,"b. 1450, Firenze, d. after 1492, Urbino"
"BENEDETTI, Andries",Italian,painter,c. 1615-after 1649
DONATO,"Italian painter, Venetian",school,known 1360-1380 in Venice
"BREENBERGH, Bartholomeus",Dutch,painter,"b. 1598/1600, Deventer, d. 1657, Amsterdam"
"MORRICE, James Wilson",Canadian,painter,"b. 1865, Montréal, d. 1924, Tunis"
"MORIN, Jean",French,engraver,"b. ca. 1590, Paris, d. 1650, Paris"
"PALAGI, Filippo Pelagio",Italian designer and,collector,"b. ca. 1775, Bologna, d. 1860, Torino"
BERNARDINO DEL SIGNORACCIO,Italian,painter,"b. 1460, Pistoia, d. ca. 1532, Pistoia"
"CANO, Alonso",Spanish,painter,"b. 1601, Granada, d. 1667, Granada"
"SCHARF, George",German,painter,"b. 1788, Mainburg, d. 1860, London"
MASTER of the Lille Adoration,Flemish,painter,active 1510-1530 in Antwerp
"DROUAIS, Jean-Germain",French,painter,"b. 1763, Paris, d. 1788, Roma"
GIOVANNI DI PAOLO,"Italian painter, Sienese",school,"b. ca. 1399, Siena, d. 1482, Siena"
GIROLAMO DA TREVISO the Younger,Italian,painter,"b. ca. 1497, Treviso, d. 1544, Boulogne-sur-Mer"
"KNIP, Nicolaas Frederik",Dutch,painter,"b. 1741, Nijmegen, d. 1808, 's-Hertogenbosch"
"STORCK, Jacobus",Dutch,painter,"b. 1641, Amsterdam, d. 1688, Amsterdam"
"RUBENS, Peter Paul",Flemish,painter,"b. 1577, Siegen, d. 1640, Antwerpen"
"MAINO, Fray Juan Bautista",Spanish,painter,"b. 1581, Pastrana, d. 1649, Madrid"
"CHANDLER, John Westbrooke",Scottish,painter,"b. 1764, Edinburgh, d. ca. 1804, Edinburgh"
"HEEM, Cornelis de",Dutch,painter,"b. 1631, Leiden, d. 1695, Antwerpen"
"TWACHTMAN, John Henry",American,painter,"b. 1853, Cincinnati, d. 1902, Gloucester"
"PEARCE, Edward",English,sculptor,d. 1695
"BECCARUZZI, Francesco","Italian painter, Treviso",school,"b. ca. 1492, Conegliano, d. before 1563, Treviso"
"NONO, Luigi",Italian,painter,"b. 1850, Fusine, d. 1918, Venezia"
"NETSCHER, Caspar",Dutch,painter,"b. 1639, Prague, d. 1684, The Hague"
"AVERCAMP, Hendrick",Dutch,painter,"b. 1585, Amsterdam, d. 1634, Kampen"
"RUSTICI, Giovanni Francesco","Italian sculptor, Florentine",school,"b. 1474, Firenze, d. 1554, Tours"
"QUAGLIO, Domenico","Italian painter, active in",Germany,"b. 1787, München, d. 1837, Hohenschwangau"
"SHCHEDRIN, Semyon Fyodorovich",Russian,painter,"b. 1745, St. Petersburg, d. 1804, St. Petersburg"
CLAUS DE WERVE,Netherlandish,sculptor,"b. ca. 1380, Haarlem, d. 1439, Dijon"
"GHERARDUCCI, Don Silvestro dei","Italian painter, Florentine",school,"b. 1339, Firenze, d. 1399, Firenze"
"GRASSI, Giovannino de'","Italian miniaturist, Lombard",school,"b. ca. 1350, Milano, d. 1398, Milano"
"BOURSSE, Esaias",Dutch,painter,"b. 1631, Amsterdam, d. 1672, at sea"
"ABEELE, Pieter van",Dutch,medallist,"b. 1608, Middelburg, d. 1684, Amsterdam"
"VERBOECKHOVEN, Eugène-Joseph",Belgian,painter,"b. 1798, Warneton, 1881, Bruxelles"
"BOYS, Thomas Shotter",English painter and,printmaker,"b. 1803, London, d. 1874, London"
"AKEN, Joseph van",Flemish,painter,"b. ca. 1699, Antwerpen, d. 1749, London"
"CAMETTI, Bernardino","Italian sculptor, Roman",school,"b. 1669, Rome, d. 1736, Rome"
"PIOLA, Domenico","Italian painter, Genoese",school,"b. 1627, Genova, d. 1703, Genova"
"LOO, Charles-Amédée-Philippe van",French,painter,"b. 1719, Rivoli, d. 1795, Paris"
"BIANCHI, Giovanni Battista",Italian architect and,sculptor,"b. 1631, Verona, d. 1687, Verona"
GUIDO DI GRAZIANO,Italian,painter,active 1275-1300 in Siena
"SABATINI, Lorenzo",Italian,painter,"b. ca. 1520, Bologna, d. 1576, Roma"
"REBELL, Joseph",Austrian,painter,"b. 1787, Wien, d. 1828, Dresden"
"SÉRUSIER, Paul",French,painter,"b. 1864, Paris, d. 1927, Morlaix"
"MONTFAUCON, Bernard de",French,scholar,"b. 1655, Soulage, d. 1741, Paris"
"AMMANATI, Bartolomeo",Italian architect and,sculptor,"b. 1511, Settignano, d. 1592, Firenze"
"BARABÁS, Miklós",Hungarian,painter,"b. 1810, Kézdimárkosfalva, d. 1898, Budapest"
"MORBELLI, Angelo",Italian,painter,"b. 1853, Alessandria, d. 1919, Milano"
"WEYDEN, Rogier van der",Flemish,painter,"b. 1400, Tournai, d. 1464, Bruxelles"
"PERROT, Antoine Marie",French,painter,"b. 1787, Paris, d. 1849, Paris"
"MADOU, Jean-Baptiste",Belgian painter and lithographer,painter,"b. 1796, Bruxelles, d. 1877, Bruxelles"
"DALEM, Cornelis van",Flemish,painter,"b. ca. 1530, Antwerpen, d. 1573, Breda"
"COURTONNE, Jean-Baptiste, the Younger",French,architect,c. 1712-1781
"JOLI, Antonio",Italian,painter,"b. ca. 1700, Modena, d. 1777, Napoli"
"KESSEL, Jan van, I",Flemish,painter,"b. 1626, Antwerpen, d. 1679, Antwerpen"
MASTER of San Lucchese,Italian,painter,active 1340-1370
"ADOLPHI, Christoffel",Dutch,medallist,"b. ca. 1631, Augusburg, d. 1680, Amsterdam"
PALMERINO DI GUIDO,Italian,painter,active around 1300
"HONDIUS, Hendrik I",Dutch,printmaker,"b. 1573, Duffel, d. ca. 1650, Den Haag"
"ANGRAND, Charles",French,painter,"b. 1854, Criquetot-sur-Ouville, d. 1926, Rouen"
"GOVAERTS, Abraham",Flemish,painter,"b. 1589, Antwerpen, d. 1626, Antwerpen"
"ENDER, Thomas",Austrian,painter,"b. 1793, Wien, d. 1875, Wien"
"ECKERSBERG, Christoffer Wilhelm",Danish,painter,"b. 1783, Blakrog, d. 1853, København"
LE NAIN brothers,French,painters,"b. 1598/1610, Laon, d. Louis and Antoine: 1648, Mathieu: 1677, Paris"
"LUNY, Thomas",English,painter,"b. 1759, Cornwall, d. 1837, Teignmouth"
"LANCRET, Nicolas",French,painter,"b. 1690, Paris, d. 1743, Paris"
"SAINT-AUBIN, Charles-Germain de",French,etcher,"b. 1721, Paris, d. 1786, Paris"
"MARINARI, Onorio","Italian painter, Florentine",school,"b. 1627, Firenze, d. 1715, Firenze"
"HUGGINS, William John",English,painter,"b. 1781, London, d. 1845, London"
"ATTIRET, Claude-François",French,sculptor,"b. 1728, Dôle, Jura, d. 1804, Dôle"
"ANGUISSOLA, Sofonisba",Italian,painter,"b. ca. 1530, Cremona, d. 1625, Palermo"
"MARTIN, Henri-Jean-Guillaume",French,painter,"b. 1860, Toulouse, d. 1943, La Bastide-du-Vert"
JEAN LE NOIR,French,illuminator,active 1331-1375 in Paris
"BISSCHOP, Cornelis",Dutch,painter,"b. 1630, Dordrecht, d. 1674, Dordrecht"
"OOSTERWIJK, Maria van",Dutch,painter,"b. 1630, Nootdorp, d. 1693, Uitdam"
"BIMBI, Bartolomeo","Italian painter, Florentine",school,"b. 1648, Settignano, d. 1730, Firenze"
"SCHOOTEN, Floris Gerritsz. van",Dutch,painter,"b. ca. 1590, Haarlem, d. after 1655, Haarlem"
"RAMBOUX, Johann Anton Alban",German painter and,litographer,"b. 1790, Trier, d. 1866, Köln"
"GILLIS, Nicolaes",Dutch,painter,active 1610-1630 in Haarlem
"ZUCCARO, Federico","Italian painter, Roman",school,"b. ca. 1542, Sant'Angelo in Vado, d. 1609, Ancona"
"PULZONE, Scipione",Italian,painter,"b. 1544, Gaeta, d. 1598, Roma"
"BERGERET, Pierre-Nolasque",French,painter,"b. 1782, Bordeaux, d. 1863, Paris"
"MADERNO, Carlo",Italian,architect,"b. 1556, Capolago, d. 1629, Roma"
"STRADA, Jacopo",Italian architect and,painter,"b. ca. 1515, Mantova, d. 1588, Wien"
"PO, Giacomo del","Italian painter, Neapolitan",school,"b. 1652, Roma, d. 1726, Napoli"
"CARLONE, Carlo Innocenzo",Italian,painter,"b. 1686, Scaria, d. 1775, Como"
"MUSSCHER, Michiel van",Dutch,painter,"b. 1645, Rotterdam, d. 1705, Amsterdam"
"NAVARRETE, Juan Fernández de",Spanish,painter,"b. ca. 1538, Logroño, d. 1579, Toledo"
"MULLER, Jan Harmensz.",Dutch,engraver,"b. 1571, Amsterdam, d. 1628, Amsterdam"
"GRAVELOT, Hubert-François",French,engraver,"b. 1699, Paris, d. 1773, Paris"
"STARNINA, Gherardo di Jacopo","Italian painter, Florentine",school,"b. ca. 1354, Firenze, d. 1409/13, Firenze"
"CALVI, Jacopo Alessandro",Italian,painter,"b. 1740, Bologna, d. 1815, Bologna"
"ZUCCHI, Lorenzo",Italian,engraver,"b. 1704, Venezia, d. 1779, Dresden"
"BALDUCCI, Giovanni",Italian,painter,"b. ca. 1560, Firenze, d. after 1631, Napoli"
"BERUETE, Aureliano",Spanish,painter,"b. 1845, Madrid, d. 1912, Madrid"
"MOMPER, Jan de",Flemish,painter,"b. ca. 1617, Antwerpen, d. ca. 1688, Roma"
"RAGUENET, Nicolas-Jean-Baptiste",French,painter,"b. 1715, Paris, d. 1793, Gentilly"
"TORRITI, Jacopo","Italian painter, Roman",school,active c. 1270-1300
"CAVALIERI, Giovanni Battista de'",Italian,printmaker,"active 1458, d. 1481, Venezia"
"PALAMEDESZ., Anthonie",Dutch,painter,"b. 1601, Delft, d. 1673, Amsterdam"
"BERTIN, Jean-Victor",French,painter,"b. 1767, Paris, 1842, Paris"
"COORTE, Adriaen",Dutch,painter,active 1683-1707 around Middelburg
"CAPPONI, Luigi di Pietro","Italian sculptor, Lombard",school,active 1485-1500 in Rome
FRANCIABIGIO,"Italian painter, Florentine",school,"b. ca. 1482, Firenze, d. 1525, Firenze"
"SCROTS, Guillaume",Flemish,painter,active 1537-1553 in England
"DEVIS, Anthony",English,painter,"b. 1729, Preston, d. 1816, Albury"
"LIEFERINXE, Josse","French painter, Provençal",school,active 1493-1508 in Marseille
"GABBIANI, Anton Domenico",Italian,painter,"b. 1652, Firenze, d. 1726, Firenze"
"COMPE, Jan ten",Dutch,painter,"b. 1713, Amsterdam, d. 1761, Amsterdam"
"SILVESTRE, Israël",French,engraver,"b. 1621, Nancy, d. 1691, Paris"
"BAUM, Paul",German,painter,"b. 1859, Meissen, d. 1932, San Gimignano"
"BIDAULD, Jean-Joseph-Xavier",French,painter,"b. 1758, Carpentras, d. 1846, Montmorency"
"CLAEUW, Jacques de",Dutch,painter,"b. 1623, Dordrecht, d. 1694, Leiden"
"ABAQUESNE, Masséot",French,ceramist,"b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen"
"BARTHOLOMÉ, Albert",French sculptor and,painter,"b. 1848, Thiverval-Grignon, d. 1928, Paris"
"CLOSTERMAN, John",German,painter,"b. 1660, Osnabrück, d. 1711, London"
"VELA, Vincenzo",Swiss,sculptor,"b. 1820, Ligornetto, d. 1891, Mendrisio"
"SPRANGER, Bartholomaeus",Flemish,painter,"b. 1546, Antwerpen, d. 1611, Praha"
"RAGGI, Nicolas-Bernard",Italian,sculptor,"b. 1790, Carrara, d. 1862, Paris"
"GROSSO, Niccolò",Italian,ironsmith,active c. 1500 in Florence
"LASCARIS, Giorgio",Italian,sculptor,"b. before 1496, d. 1531, Padova"
"SCHALL, Jean-Frédéric",French,painter,"b. 1752, Strasbourg, d. 1825, Paris"
"GONTIER, Linard",French glass,painter,"b. 1565, Troyes, d. ca. 1642, Troyes"
"VLIET, Hendrick Cornelisz. van",Dutch,painter,"b. ca. 1611, Delft, d. 1675, Delft"
"MAES, Nicolaes",Dutch,painter,"b. 1634, Dordrecht, d. 1693, Amsterdam"
"ROSSO, Medardo",Italian,sculptor,"b. 1858, Torino, d. 1928, Milano"
"CAMILO, Francisco",Spanish,painter,"b. 1615, Madrid, d. 1673, Madrid"
"AUDRAN, Claude III",French,painter,"b. 1658, Lyon, d. 1734, Paris"
"POMPEI, Alessandro, Conte",Italian,architect,"b. 1705, Verona, d. 1772, Garda"
MASTER of the Piccolomini Madonna,Italian,sculptor,active 1450-1500 in Siena
"HOOFT, Willem Dirksz.",Dutch,publisher,1594-1658
"VELDE, Henry van de",Belgian painter and,architect,"b. 1863, Antwerpen, d. 1957, Zürich"
"BEAUNEVEU, André",French,sculptor/miniaturist,"b. ca. 1330, Valenciennes, d. 1402, Bourges"
MASTER of the Hartford Still-life,"Italian painter, Roman",school,active c. 1600
"CIGNAROLI, Giambettino",Italian,painter,"b. 1706, Verona, d. 1770, Verona"
"HUQUIER, Gabriel",French,engraver,"b. 1698, Torino, d. 1750, Paris"
"KLENZE, Leo von",German,painter,"b. 1784, Schladen, d. 1864, München"
"BREITNER, George Hendrik",Dutch,painter,"b. 1857, Rotterdam, d. 1923, Amsterdam"
"OUWATER, Albert van",Netherlandish,painter,active 1440-1465 in Haarlem
"LECOMTE, Félix",French,sculptor,"b. 1737, Paris, d. 1817, Paris"
"LEYGEBE, Paul Carl",German,painter,"b. 1664, Nürnberg, d. 1756, Berlin"
"SOREAU, Isaak",German,painter,"b. 1604, Frankfurt, d. ca. 1645"
"BEERSTRATEN, Jan Abrahamsz.",Dutch,painter,"b. 1622, Amsterdam, d. 1666, Amsterdam"
"HOCHHAUSER, Ephraim",Austrian,painter,"b. 1691, Neusohl, d. 1771, Wien"
"HUYSMANS, Jan Baptist",Flemish,painter,"b. 1654, Antwerpen, d. 1716, Antwerpen"
"PIETRASANTA, Jacopo da",Italian,architect,"active 1452, d. 1495, Roma"
MASTER of St Francis,"Italian painter, Umbrian",school,active c. 1260-1280 in Umbria
"GRIFFIER, Jan I",Dutch,painter,"b. ca. 1645, Amsterdam, d. 1718, London"
"LAMPI, Johann Baptist I",Austrian,painter,"b. 1751, Romeno, d. 1830, Wien"
"TOCQUÉ, Louis",French,painter,"b. 1696, Paris, d. 1772, Paris"
"COLLINS, Charles",Irish,painter,"b. ca. 1680, Dublin, d. 1744, London"
"CODDE, Pieter",Dutch,painter,"b. 1599, Amsterdam, d. 1678, Amsterdam"
MASTER of the Catholic Kings,Spanish,painter,active 1485-1500  in Castilia
"ROYER, Lodewijk",Flemish,sculptor,"b. 1793, Mechelen, d. 1868, Amsterdam"
"BONHEUR, Rosa",French painter and,sculptor,"b. 1822, Bordeaux, d. 1899, Thomery"
"BARTOLOZZI, Francesco",Italian,engraver,"b. 1727, Firenze, d. 1815, Lisboa"
"PARLER, Peter",German,sculptor,"b. 1330, Schwabisch-Gmünd, d. 1399, Prague"
"WINTERHALTER, Franz Xaver",German,painter,"b. 1805, Menzenschwand, d. 1873, Frankfurt"
"BRÄM, Leonhard I",Swiss,goldsmith,"died 1565, Zürich"
"MORO, Lorenzo del",Italian,painter,"b. 1677, Firenze, d. 1735, Firenze"
"CORTESE, Cristoforo",Italian,illuminator,active c. 1399-before 1445 in Venice
"ETTY, William",English,painter,"b. 1787, York, d. 1849, York"
"ZANDOMENEGHI, Federico",Italian,painter,"b. 1841, Venezia, d. 1917, Paris"
"MOLA, Pier Francesco","Italian painter, Roman",school,"b. 1612, Coldrerio, d. 1666, Roma"
"MONTICELLI, Adolphe",French,painter,"b. 1824, Marseille, d. 1886, Marseille"
"RASTRELLI, Carlo Bartolomeo",Italian sculptor and,architect,"b. ca. 1675, Firenze, d. 1744, St. Petersburg"
"BRAMBILLA, Ambrogio",Italian,printmaker,active 15791599 in Rome
"BOUGH, Samuel",English,painter,"b. 1822, Carlisle, d. 1878, Edinburgh"
"MONTAGNA, Bartolomeo","Italian painter, Vicenza",school,"b. ca. 1450, Orzinuovi, Brescia, d. 1523, Vicenza"
"RICCIARDO DI NANNI, Ser",Italian,illuminator,active 1449-1480 in Florence
"SANTVOORT, Dirck Dircksz.",Dutch,painter,"b. ca. 1600, Amsterdam, d. 1680, Amsterdam"
"ADAM, Lambert-Sigisbert",French,sculptor,"b. 1700, Nancy, d. 1759, Paris"
"HOLL, Frank",English,painter,"b. 1845, London, d. 1888, London"
"MEYTENS, Martin van, II",Dutch,painter,"b. 1695, Stockholm, d. 1770, Vienna"
"DUSEIGNEUR, Jehan",French,sculptor,"b. 1808, Paris, d. 1866, Paris"
"CIUFFAGNI, Bernardo","Italian sculptor, Florence",school,"b. 1385, Firenze, d. 1457, Firenze"
"GUTIÉRREZ, Juan Simón",Spanish,painter,"b. 1643, Medina Sidonia, d. 1718, Sevilla"
"KONINCK, Daniël de",Dutch,painter,"b. 1668, Amsterdam, d. after 1720, London"
"NICKELEN, Isaak van",Dutch,painter,"b. ca. 1632, Haarlem, d. 1703, Haarlem"
"NOTKE, Bernt",German,sculptor,"b. ca. 1440, Lassahn, d. 1509, Lübeck"
MASTER of the Codex of Saint George,Italian,illuminator,active first half of the 14th century
MARIO DEI FIORI,"Italian painter, Roman",school,"b. 1603, Roma, d. 1673, Roma"
"STRIGEL, Hans II","German painter, Swabian",school,active 1450-1480 in Memmingen
"TORRES, Clemente de",Spanish,painter,"b. ca. 1662, Cádiz, d. 1730, Cádiz"
"RANC, Jean",French,painter,"b. 1674, Montpellier, d. 1735, Madrid"
"DORIGNY, Michel",French,engraver,"b. 1616, Saint-Quentin, d. 1665, Paris"
"BARTOLOMEO, Fra","Italian painter, Florentine",school,"b. 1473, Firenze, d. 1517, Pian' di Mugnone"
"GAUTIER-DAGOTY, Jacques-Fabien",French,engraver,"b. 1716, Marseille, d. 1785, Paris"
"BUGLIONI, Benedetto","Italian sculptor, Florentine",school,"b. ca. 1459, Firenze, d. 1521, Firenze"
"ROTARI, Pietro Antonio",Italian,painter,"b. 1707, Verona, d. 1762, St. Petersburg"
"ZUBOV, Aleksey Fyodorovich",Russian,printmaker,"b. ca. 1682, Moscow, d. 1751, Moscow"
"EDELFELT, Albert",Finnish,painter,"b. 1854, Kiala Estate, d. 1905, Haikko"
"PREDIS, Ambrogio de","Italian painter, Lombard",school,"b. ca. 1455, Milano, d. after 1508"
"COSSA, Francesco del","Italian painter, Ferrarese",school,"b. ca. 1435, Ferrara, d. 1477, Bologna"
"MARTINELLI, Giovanni","Italian painter, Florentine",school,"b. ca. 1600, Montevarchi, d. 1659, Firenze"
"GHERARDI, Cristofano","Italian painter, Florentine",school,"b. 1508, Borgo San Sepolcro, d. 1556, Firenze"
"FERNANDI, Francesco",Italian,painter,"b. 1679, Milano, d. 1740, Roma"
"GIOVANNI DA VERONA, Fra",Italian intarsia,artist,"b. ca. 1457, d. ca. 1525, Verona"
"FLEGEL, Georg",German,painter,"b. 1566, Olomouc, d. 1638, Frankfurt am Main"
"LAURI, Pietro",French,painter,documented 1634-1669 in Bologna
"BASSANO, Jacopo","Italian painter, Venetian",school,"b. ca. 1515, Bassano del Grappa, d. 1592, Bassano del Grappa"
"BAERZ, Jacques de",French,sculptor,active 1390s in Dijon
"VOGEL, Christian Leberecht",German,painter,"B. 1759, Dresden, d. 1816, Dresden"
"CONTIN, Antonio",Italian,architect,"b. 1566, Lugano, d. 1616, Venezia"
"ISABEY, Jean-Baptist",French,painter,"b. 1767, Nancy, d. 1855, Paris"
"BOYER, Michel",French,painter,"b. 1668, Le Puy, d. 1724, Paris"
"MOMPER, Joos de",Flemish,painter,"b. 1564, Antwerpen, d. 1634/35, Antwerpen"
"HENSTENBURGH, Herman",Dutch,painter,"b. 1667, Hoorn, d. 1726, Hoorn"
"RYCKAERT, Maerten",Flemish,painter,"b. 1587, Antwerpen, d. 1633, Antwerpen"
"MAGGI DA BASSANO, Annibale",Italian,architect,"d. 1509, Padova"
"FRANCKEN, Hieronymus, II",Flemish,painter,"b. 1578, Antwerpen, d. 1623, Antwerpen"
"HORENBOUT, Lucas",Flemish,painter,"b. 1490/95, Ghent, d. 1544, London"
"WEIDITZ, Christoph",German,sculptor/medallist,"b. ca. 1500, Freiburg im Breisgau, d. 1559, Augsburg"
"LENBACH, Franz von",German,painter,"b. 1836, Schrobenhausen, d. 1904, München"
"MANSUETI, Giovanni","Italian painter, Venetian",school,known 1485-1526 in Venice
"JACOMART, Jaume Baço",Spanish,painter,"b. 1411, Valencia, d. 1461, Valencia"
"KUPECKY, Jan",Bohemian,painter,"b. 1667, Bazin, d. 1740, Nürnberg"
DOMENICO DA TOLMEZZO,"Italian painter, Venetian",school,"b. ca. 1448, Friuli, d. 1507, Friuli"
"VALERIANI, Domenico",Italian,painter,died before 1771
"BRAY, Salomon de",Dutch,painter,"b. 1597, Amsterdam, d. 1664, Haarlem"
"EGERI, Carl von",Swiss glass,painter,"b. ca. 1510, ?, d. 1562, Zürich"
"NIEULANDT, Willem van, the Younger",Dutch,painter,"b. 1584, Antwerpen, d. ca. 1635, Amsterdam"
"AGASSE, Jacques-Laurent",Swiss,painter,"b. 1767, Geneve, d. 1849, London"
MARGARITO D'AREZZO,Italian,painter,active 1250-1290
"CASA, Nicolò della",French,engraver,active 1543-1548 in Italy
"GROS, Antoine-Jean",French,painter,"b. 1771, Paris, d. 1835, Meudon"
"PISANO, Giovanni",Italian,sculptor,"b. ca. 1250, Pisa, d. 1314, Pisa"
"GERHARD, Hubert",Dutch/German,sculptor,"b. ca. 1550, s'Hertogenbosch, d. 1620, München"
"EVERDINGEN, Allaert van",Dutch,painter,"b. 1621, Alkmaar, d. 1675, Amsterdam"
"PUGET, Pierre",French,sculptor/painter,"b. 1620, Marseille, d. 1694, Marseille"
"MORLAITER, Giovan Maria",Italian,sculptor,"b. 1699, Venezia, d. 1781, Venezia"
NICOLAS OF VERDUN,French,goldsmith,active 11811205
"LINDTMAYER, Daniel",Swiss designer of stained-glass,windows,"b. 1552,  Schaffhausen, d. ca. 1603, Luzern"
"LAIRESSE, Gérard de",Dutch,painter,"b. 1641, Liège, d. 1711, The Hague"
"BORSOS, József",Hungarian,painter,"b. 1821, Veszprém, d. 1883, Budapest"
"CAPPELLA, Francesco",Italian,painter,"b. 1711, Venezia, d. 1774, Bergamo"
