Ime_slikarja,Narodnost,Smer,Letnice_kraj
"BAZILLE, Jean-Frédéric",French,painter,"b. 1841, Montpellier, d. 1870, Beaune-la-Rolande"
MICHELE DI MATTEO,Italian,painter,active 1410-1469
"ROSSI, Giovanni Antonio de'",Italian medallist and,gem-engraver,"b. 1517, Milano, d. after 1575"
"ZUCCHI, Antonio",Italian,painter,"b. 1726, Venezia, d. 1796, Roma"
"ALSLOOT, Denis van",Flemish,painter,"b. 1570, Bruxelles, d. 1626, Bruxelles"
"LONGHI, Alessandro","Italian painter, Venetian",school,"b. 1733, Venezia, d. 1813, Venezia"
"BELLA, Stefano della",Italian,etcher,"b. 1610, Firenze, d. 1664, Firenze"
"MOSTAERT, Gillis",Flemish,painter,"b. ca. 1529, Hulst, d. 1598, Antwerpen"
"VIOLLET-LE-DUC, Eugène-Emmanuel",French architectural,restorer,"b. 1814, Paris, d. 1879, Lausanne"
FRANCESCO DI SIMONE DA SANTACROCE,Italian,painter,"b. ca. 1440, Santacroce, d. 1508, Venezia"
"HOLLAR, Wenceslaus",Bohemian,engraver,"b. 1607, Praha, d. 1677, London"
DIONYSIUS,Russian icon,painter,c. 1440-c. 1508
"GAINSBOROUGH, Thomas",English,painter,"b. 1727, Sudbury, d. 1788, London"
"DUMONSTIER, Daniel",French,painter,"b. 1574, Paris, d. 1645, Paris"
"CONTE, Jacopino del",Italian,painter,"b. ca. 1515, Firenze, d. 1598, Roma"
"ROYEN, Willem Frederik van",Dutch,painter,"b. 1645, Haarlem, d. 1723, Berlin"
